Age,Education_Num,Marital_Status,Occupation,Relationship,Sex,Capital_Gain,Capital_Loss,Hours_per_Week,Income
32,9,0,9,3,0,0,0,40,0
22,9,4,6,3,1,0,0,47,0
34,14,4,11,4,1,0,0,60,1
43,9,4,6,3,1,0,0,40,0
33,11,2,6,0,1,0,0,40,1
19,9,4,0,2,0,0,0,28,0
30,11,2,12,5,0,0,0,35,0
18,10,4,0,1,0,0,0,28,0
27,11,4,5,4,1,0,0,30,0
46,10,0,11,4,0,0,0,40,0
38,9,0,7,4,0,0,0,35,0
43,11,2,2,0,1,0,0,40,0
20,9,4,6,3,1,0,0,47,0
27,9,0,3,4,0,0,0,40,0
18,9,4,0,3,0,0,0,35,0
53,9,2,2,0,1,0,0,40,0
23,10,2,11,5,0,0,0,47,0
42,9,2,2,0,1,0,1740,47,0
47,14,2,11,0,1,0,0,40,1
61,13,2,9,0,1,0,1848,40,1
37,8,2,4,0,1,0,0,36,0
25,11,2,5,0,1,0,0,40,0
38,11,4,12,1,0,2354,0,40,0
59,10,2,11,0,1,0,0,47,0
18,10,4,0,3,1,0,0,40,0
28,11,2,4,0,1,0,0,47,0
24,10,4,3,1,1,99999,0,50,1
43,13,4,11,1,1,0,0,60,1
17,8,4,11,1,0,0,0,28,0
41,13,2,9,5,0,0,0,40,1
30,13,0,11,1,1,27828,0,40,1
55,9,2,13,0,1,0,0,40,0
39,11,6,0,4,0,0,0,45,0
27,11,4,3,1,0,0,0,40,0
61,9,2,7,0,1,0,0,40,0
77,8,2,2,0,1,0,0,40,0
65,11,2,13,0,1,0,0,28,0
31,9,0,3,4,0,0,0,40,0
41,10,0,7,1,0,0,0,28,0
38,11,2,4,0,1,0,0,47,0
36,9,4,13,1,1,0,1669,40,0
48,8,2,3,0,1,0,0,40,0
37,11,4,0,1,0,0,0,40,0
42,13,2,9,0,1,0,0,65,1
35,8,2,3,0,1,4386,0,47,0
27,10,4,0,4,0,0,0,30,0
57,10,2,10,0,1,0,0,47,0
19,11,4,7,3,0,0,0,28,0
22,11,4,2,3,1,0,0,47,0
48,9,2,12,0,1,0,0,47,0
57,11,2,3,0,1,0,0,28,0
37,9,2,6,0,1,0,0,36,1
30,8,2,2,0,1,2580,0,40,0
39,10,0,3,4,0,0,0,47,0
25,10,3,0,4,0,0,0,28,0
36,10,2,2,0,1,0,0,40,1
42,13,2,3,0,1,7688,0,40,1
21,9,4,11,1,0,0,0,40,0
24,11,4,3,1,1,0,0,40,0
37,14,2,9,5,0,0,0,45,1
48,9,2,11,0,1,0,0,47,0
